,Id,Name,State,Top Category,Creator,Location,Goal,Pledged,Backers,Duration in Days,Facebook Connected,Facebook Friends,Facebook Shares,Creator - # Projects Created,Creator - # Projects Backed,Latitude,Longitude,region
104,298457671,"1up LP- First Album from Bass player, Robert ""Bubby"" Lewis",successful,Music,"Robert ""Bubby"" Lewis",Los Angeles,5000,8820,243,30,Yes,4682.0,2519,1,4.0,34.018239975,-118.39637756350001,California
105,1785335386,What Brown Girls Are Made Of,failed,Publishing,Eisha Facheon,Richmond,1500,5,1,26,Yes,1553.0,6,1,0.0,37.9500904083,-122.3360023499,California
106,1237922116,COLLUSION: A game of brazen deceit & unspeakable treachery.,failed,Games,"Tinker, Tailor",Seattle,100000,29414,530,30,No,,522,1,5.0,47.6120109558,-122.30503845209999,Washington
107,709176287,SOUNDTRACK TO FREEDOM - New Studio Album by Sir Ari Gold,successful,Music,arigold,Lower East Side,6000,6325,50,60,Yes,4367.0,226,1,6.0,40.7188091278,-73.9848022461,New York
109,925309552,"Elizabeth and The Slow Kill- EP ""All The Color Red""",successful,Music,Elizabeth Yandel,Eugene,5000,5137,44,30,Yes,345.0,211,1,0.0,44.0585308075,-123.0980224609,Oregon
110,1473028060,Blood Lines,failed,Film & Video,Jeffrey Karantza,Atlanta,1500,35,2,30,No,,206,1,0.0,33.813949585,-84.41580963130001,Georgia
112,1478643772,"""2:45AM"" A Short Film",successful,Film & Video,Luke Hrabal,Amherst,4000,4110,39,25,Yes,697.0,116,1,1.0,42.3637752533,-72.5098228455,Massachusetts
113,1817577758,Being a Bird - An Oculus Rift Virtual Reality Game - 2nd KS,failed,Games,Mike Johnston,Norristown,2000,413,36,30,Yes,54.0,27,2,1.0,40.1302223206,-75.3713378906,Pennsylvania
115,1503983241,Pasometo: A search-engine for the social web,failed,Technology,PASS Consulting Group // Florian Brand,Miami,25000,271,10,60,No,,3,1,0.0,25.788707733200003,-80.25025177,Florida
117,1912493381,"Streetlight Cadence - ""After the War"" EP",successful,Music,Streetlight Cadence,Honolulu,4000,5058,69,30,Yes,1341.0,534,1,0.0,21.4446516037,-157.8796310425,Hawaii
118,402489064,Napwell: The World's First Napping Mask,successful,Technology,Justin Lee,Cambridge,30000,51564,769,40,Yes,1102.0,1613,1,2.0,42.3795871735,-71.1172027588,Massachusetts
120,843148797,Wilderness Adventures: Pilot Episode,failed,Film & Video,Peter Schriemer,Ann Arbor,20000,1290,32,60,No,,25,1,0.0,42.271152496300004,-83.7333908081,Michigan
121,1902068443,The Founders,successful,Film & Video,Eleven 11 Films,Atlanta,9500,10171,98,30,No,,1143,1,0.0,33.813949585,-84.41580963130001,Georgia
123,1765618374,Build Tampa’s First Hackerspace,successful,Technology,Tampa Hackerspace,Tampa,10000,16185,157,28,No,,916,1,0.0,27.999587059,-82.4777145386,Florida
125,574377253,"Make MEDICINE DOG, THE BOOK TRAILER, Spread the Puppy Love",failed,Film & Video,Julia Szabo,Portland,10000,1077,20,28,Yes,1338.0,254,1,4.0,45.538421630900004,-122.666431427,Oregon
126,1290398162,No Destination (working title),successful,Film & Video,Melanie Miller,Boone,1000,1000,14,14,Yes,366.0,133,2,1.0,36.1972503662,-81.6597557068,North Carolina
127,1386743853,Wheat Freely - Gluten Free Baked Good Mixes,failed,Food,Tracy Grabowski,Medina,2500,60,1,30,No,,0,1,0.0,41.143817901599995,-81.8504638672,Ohio
128,154361954,A Song for Old Songs,successful,Music,Southerner,Nashville,1000,1056,42,30,No,,119,1,0.0,36.1912117004,-86.7920761108,Tennessee
129,1748638921,Hamster: A Play About People,successful,Theater,Anais Fifer,Manhattan,1100,2200,23,20,No,,27,1,0.0,40.7629089355,-73.969039917,New York
130,919640093,Croaker the Movie - Post Production,failed,Film & Video,Fred Terling,Canonsburg,5000,90,3,30,Yes,1335.0,0,1,1.0,40.271780014,-80.1716270447,Pennsylvania
131,661225705,MAIL ART MAGIC,successful,Art,Mitsuko Brooks,Brooklyn,600,778,8,15,No,,0,2,8.0,40.6455001831,-73.9613761902,New York
132,671537499,Breaking Ground - J.Deran & W.Perry CD Project,successful,Music,Jason Deran,Columbus,1000,1230,40,59,Yes,804.0,16,1,1.0,39.9959201813,-82.9749565125,Ohio
133,169501704,Are You with Me,successful,Film & Video,Jared M. Gordon,Boston,500,1172,47,31,No,,193,2,15.0,42.3323383331,-71.04561996460001,Massachusetts
134,1678509931,Plato Was Wrong: A Valhalla Project Initiative,successful,Film & Video,Kerry Patton,Yellville,10000,13296,99,21,Yes,1474.0,936,1,0.0,36.2268447876,-92.68272399899999,Arkansas
135,2084902177,Ron Revog's New Studio Album,failed,Music,Ron Revog,New York,5000,225,2,30,Yes,182.0,8,1,0.0,40.706577300999996,-73.8823738098,New York
136,11987589,Design vs Cancer: Designers Unite,successful,Fashion,Peter Deltondo,Irvine,10000,12208,249,30,Yes,442.0,910,1,3.0,33.685895919800004,-117.7841262817,California
137,1223635800,"Susan's 1st worship CD, A New Season-No Limits No Boundaries",successful,Music,Susan Cheatham,West Phoenix,2000,2400,26,22,Yes,851.0,180,1,1.0,33.517332077,-112.08026504520001,Arizona
138,1965762098,Eight,successful,Film & Video,Genevieve Rico,Seaside,300,427,19,60,No,,83,1,2.0,36.617149353,-121.8316421509,California
139,2072354085,JumpStart: Creating Pre-Literacy Digital Video Ensembles,failed,Film & Video,Aaron A. Carlin,Urbana,4000,1041,15,30,Yes,188.0,185,1,0.0,40.1138210297,-88.19290542600001,Illinois
140,192232146,A Pillow For Your Thoughts - Dream Kit,failed,Design,Jane,Los Angeles,6000,905,23,30,Yes,1636.0,89,1,4.0,34.018239975,-118.39637756350001,California
141,1163474110,"What's has Dark Chocolate, Pecans & Almonds? Noodies Cookies",successful,Food,"Veronica ""Noodie"" Wilson",Atlanta,2500,2711,55,30,Yes,3491.0,410,1,3.0,33.813949585,-84.41580963130001,Georgia
143,668117630,Truckin' Tomato- A Mobile Farmer's Market,failed,Food,Shaun lee,San Antonio,5000,246,8,30,No,,58,1,0.0,29.4660415649,-98.50783920290002,Texas
144,1554265566,Secure Shell,failed,Technology,Secure Data Ltd.,Annapolis,30000,1321,34,60,No,,153,1,2.0,38.9642925262,-76.5008239746,Maryland
145,808041501,"Release of my novel ""The Chronicles of Trevel: Dragon Tears""",failed,Publishing,Trevel Lyndee Coleman,Cedar Rapids,4000,279,12,34,Yes,566.0,132,1,1.0,41.977920532199995,-91.67665863040001,Iowa
148,1447714543,"The Shadow Legacy, a Memoir",failed,Publishing,Jesse Marcel (Genceive LLC),Spokane,3500,315,6,45,Yes,2608.0,108,1,0.0,47.6799316406,-117.4090843201,Washington
150,1038123887,NERDCORE™ T-Shirts inspired by Video Games and Nerd Culture.,failed,Fashion,Devise Multimedia,Queens,12000,2883,72,45,Yes,441.0,0,1,0.0,40.6757965088,-73.7834205627,New York
151,153806918,Crazy Big Muscle,failed,Games,Rodney C Demers,Bradenton,30000,22,3,30,No,,64,2,0.0,27.458923339800002,-82.5563201904,Florida
152,1604538861,"“E.D. Blues”, An Original Musical",failed,Theater,Butch Dubarri a.k.a. Kent Sprague,Los Angeles,26000,101,2,45,Yes,0.0,5,1,0.0,34.018239975,-118.39637756350001,California
154,2070369048,Playa Real Premium Flavored Tequila,failed,Food,Matt Davis,Austin,35000,7873,51,30,Yes,1027.0,177,1,0.0,30.326808929400002,-97.7589683533,Texas
155,1338248857,The West,successful,Theater,Alex Bechtel,Philadelphia,5000,5809,169,40,Yes,1046.0,306,1,5.0,40.0138053894,-75.1232452393,Pennsylvania
156,1950633384,Young Royal Couture Theater Project!!!,failed,Theater,Erica James,Chicago,8000,10,1,30,Yes,2994.0,6,1,0.0,41.8408851624,-87.72951889040002,Illinois
158,924954254,A Memorable Experience,failed,Photography,Francis Lavigne-theriault,Oklahoma City,3000,260,2,55,Yes,270.0,150,1,0.0,35.4801235199,-97.5261650085,Oklahoma
159,92602947,Those Cats Debut Album Release,successful,Music,Those Cats,Savannah,3000,3459,82,32,No,,710,1,1.0,32.049282074000004,-81.0989532471,Georgia
160,689225443,"New Album ""Love in Every Note""",successful,Music,The Whisper War,Mansfield,1000,1080,26,24,Yes,1537.0,118,1,0.0,32.6011676788,-97.13542175290002,Texas
161,1142086167,New Orleans Finally Meets Fashion’s Capitol in 2014,successful,Fashion,Amanda deLeon,New Orleans,7500,8040,134,30,Yes,800.0,1152,1,0.0,30.015501976,-89.94888687129999,Louisiana
162,100724658,Meet Jesus H. da Vinci,failed,Publishing,Donald K Stanley,Austin,18250,667,10,27,Yes,157.0,24,1,0.0,30.326808929400002,-97.7589683533,Texas
164,809158299,Papa Bakes' VERY 1ST T-SHIRT,successful,Fashion,Eric W. Baker,Seattle,700,722,22,18,Yes,1457.0,59,4,2.0,47.6120109558,-122.30503845209999,Washington
165,1499238670,Be Apart of Fashion Week through a Local SF Finalist,successful,Fashion,Jasmine Gonzalez,San Francisco,8500,9313,95,29,Yes,452.0,467,1,0.0,37.7776432037,-122.4472618103,California
166,268494759,"What you say? I said, Funky Hot Grits' first EP!",successful,Music,Funky Hot Grits,Chicago,3500,4191,85,46,No,,9,1,0.0,41.8408851624,-87.72951889040002,Illinois
167,765406917,The Prophecies Trilogy – Long live the hardcover book!,failed,Publishing,"Linda Hawley, Author",Zillah,8278,100,7,15,Yes,120.0,112,1,1.0,46.4209213257,-120.2443084717,Washington
171,133409705,"""The Legend of the Red Wolf"" teaches Spanish and English",failed,Publishing,Cedric Montanez Ward,Portland,5000,80,4,60,Yes,420.0,8,1,0.0,36.5729370117,-86.5287628174,Tennessee
172,217940646,Looking for Love: American men in search of Colombian brides,successful,Film & Video,Russ Finkelstein,New York,8500,9897,143,30,Yes,972.0,839,1,7.0,40.706577300999996,-73.8823738098,New York
174,139485923,The Get Ahead Cut an Album!,failed,Music,The Get Ahead,Portland,6500,2600,39,30,Yes,716.0,161,1,0.0,45.538421630900004,-122.666431427,Oregon
176,1018051107,Tattered: a story of love and homelessness,successful,Film & Video,Jasmine Norman,Hamden,3500,4652,79,24,Yes,954.0,273,1,0.0,41.380510330199996,-72.8964538574,Connecticut
177,1848096311,Twin Brothers Art Show Launch,failed,Art,Jared and Jason Morgan,Las Vegas,5500,450,9,30,Yes,241.0,149,1,2.0,36.1593837738,-115.1843681335,Nevada
178,553809821,"Seedless Band 2014 ""Winter Blackout"" Nationwide Tour",successful,Music,Seedless Band,Orange,20000,20586,199,30,No,,2835,1,0.0,33.8183193207,-117.8292655945,California
179,1567521650,Will Phalen: NEW ALBUM NOW!!,successful,Music,Will Phalen,Chicago,10750,11250,137,30,Yes,888.0,250,1,6.0,41.8408851624,-87.72951889040002,Illinois
180,1466135050,Bring back THE MOTHER in Public Access Theatre,successful,Theater,"Oracle Productions, NFP",Chicago,3000,7065,248,36,Yes,656.0,450,6,0.0,41.8408851624,-87.72951889040002,Illinois
182,1111169456,"Vessel Clothing ""Dreams Never Sink""",failed,Fashion,Charley Pangus,Davis,3000,170,4,31,Yes,49.0,27,1,0.0,38.5487289429,-121.7420578003,California
184,1414058210,50 Paintings Roosevelt-Campobello Intl Park 50th Anniversary,successful,Art,Michael Chesley Johnson,Campobello,1000,4212,43,60,No,,19,1,2.0,44.921010971099996,-66.92592239380001,Maine
185,2119875915,Wild West Ghost Towns,failed,Photography,Everett Cook,Denver,5000,413,10,30,Yes,353.0,15,3,0.0,39.773494720500004,-104.89710998540001,Colorado
186,1184870654,Indulge Cock and Bull's Voolf,successful,Theater,Cock and Bull Theatre,Chicago,2900,2985,55,20,Yes,507.0,317,1,11.0,41.8408851624,-87.72951889040002,Illinois
187,1397594078,Clip Em Up- Bra clip,failed,Fashion,Carrie Parker,Crete,3000,408,20,50,No,,1,1,3.0,41.424703598,-87.6492080688,Illinois
188,1043548601,Outdoor Stone Chess Set,failed,Art,Alex Betsill,Paige,1200,76,4,30,Yes,1999.0,58,3,0.0,30.21138,-97.113892,Texas
191,1549516322,Nick Beam's Rookie Season,successful,Music,Nick Beam,New Orleans,5000,5056,78,30,Yes,1266.0,488,1,1.0,30.015501976,-89.94888687129999,Louisiana
193,1232260739,What the Sky Sees: Grand Format Topographic Tapestries,failed,Art,Suchitra Fields,Santa Cruz,25000,2050,19,39,Yes,0.0,0,2,2.0,37.4020748138,-122.1945343018,California
194,721231447,Universal Laws,successful,Music,dFresh,Boston,10000,12582,105,30,Yes,1239.0,731,1,17.0,42.3323383331,-71.04561996460001,Massachusetts
195,2059320603,"""Declarations"" worship EP",failed,Music,Iaian Thompson,Nashville,15000,320,4,30,Yes,114.0,66,1,0.0,36.1912117004,-86.7920761108,Tennessee
196,957603782,Not your Average Joe.,failed,Food,Robert,Richlands,12000,711,8,30,No,,1,1,1.0,34.894464492800005,-77.5472831726,North Carolina
197,140878596,Purple Heart Outdoor Adventures,failed,Film & Video,Jeffrey M.,San Antonio,80000,337,7,60,Yes,378.0,0,1,0.0,29.4660415649,-98.50783920290002,Texas
198,2122095594,"""The Process"" - Parsons BFA Senior Thesis Collection",successful,Fashion,Harrison Bradt,New York,5000,6536,35,30,Yes,308.0,125,1,0.0,40.706577300999996,-73.8823738098,New York
200,644882155,"Nicole Chudoba's First EP, BELIEVE!",successful,Music,Elmellio Music Group,St. Louis,5000,5090,14,45,Yes,519.0,10,1,2.0,38.6356201172,-90.3082389832,Missouri
201,1647165883,The All-In-One Attaché,failed,Design,Sonali Jain,New York,5000,2870,18,45,Yes,471.0,0,1,0.0,40.706577300999996,-73.8823738098,New York
202,696890981,LIGHT: The Book,failed,Publishing,Louise Riofrio,Houston,2000,1630,29,21,Yes,200.0,57,5,9.0,29.8564939499,-95.4170608521,Texas
